make,model,CubicCapacity,SeatingCapacity,CarringCapacity,MakeCode,ModelCode,GVW
ESCORTS CONSTRUCTION EQUIPMENT LTD,ESCORTS HYDRA 10 CRANE,2000,2,2,312,4972,1
EICHER MOTORS,20.15 MAKE UP VAN,3598,3,3,304,12968,16200
AJAX FLORI ENGINEERING,AGRO 4000,2000,3,3,401,9153,0
ASHOK LEYLAND LTD.,1613 H/1 FIRE BRIGADE,2000,2,2,362,9155,1
ESCORTS CONSTRUCTION EQUIPMENT LTD,ESCORTS HY 17 CRANE,2000,2,2,312,4710,1
ASIA MOTORWORKS LTD,3118 DRILLING RIGS,1,3,3,260,17206,1
ACTION CONSTRUCTION EQUIPMENT,TM 400,1,2,2,294,17208,1
ACE,AL 170,1,1,1,271,17210,1
ACTION CONSTRUCTION EQUIPMENT,ACX 750,1,1,1,294,17273,1
ASHOK LEYLAND LTD.,ECOMET 912,1,2,2,362,17290,1
ASHOK LEYLAND LTD.,ECOMET 1112 COMPRESSOR,1,2,2,362,17291,1
ACTION CONSTRUCTION EQUIPMENT,SX 170,1,1,1,294,17332,1
ACTION CONSTRUCTION EQUIPMENT,FX 150,1,1,1,294,17393,1
ACTION CONSTRUCTION EQUIPMENT,FX 120,1,1,1,294,17399,1
ASIA MOTORWORKS LTD,2516 CONCRETE BOOM PUMP,1,2,2,260,17404,1
ATLAS COPCO,SIMBA,2000,2,2,297,6278,1
ESCORTS CONSTRUCTION EQUIPMENT LTD,ESCORTS F 15 CRANE,2000,2,2,312,4842,1
ESCORTS CONSTRUCTION EQUIPMENT LTD,ESCORTS RT 40 CRANE,2000,2,2,312,4844,1
EIMCO ELECON,625 DUMP LOADER,2000,2,2,310,4904,1
ESCORTS CONSTRUCTION EQUIPMENT LTD,ESCORTS 3000 D,1,1,1,312,15863,1
ESCORTS CONSTRUCTION EQUIPMENT LTD,ESCORTS 710,2000,2,2,312,6901,1
AMAR TRACTORS,AMAR 240 DI,2000,1,1,295,6326,1
ASHA EXIM PVT LTD,CAPTAIN DI 2600,2000,1,1,298,6327,1
ACTION CONSTRUCTION EQUIPMENT,ACE 2418 MOBILE TOWER CRANE,2000,2,2,294,6538,1
ACTION CONSTRUCTION EQUIPMENT,ACE 3625 MOBILE TOWER CRANE,2000,2,2,294,6540,1
ACTION CONSTRUCTION EQUIPMENT,ACE TC5013 TOWER CRANE,2000,2,2,294,6546,1
ALPHA CRANE,SP 453,2000,2,2,365,6579,1
FIRE BRIGADE,FIRE FIHGTER TENDER,2000,2,2,413,8021,1
ESCORTS CONSTRUCTION EQUIPMENT LTD,ESCORTS RT 20 CRANE,2000,2,2,312,4715,1
ESCORTS CONSTRUCTION EQUIPMENT LTD,ESCORTS RT 30 CRANE,2000,2,2,312,4716,1
ESCORTS CONSTRUCTION EQUIPMENT LTD,ESCORTS TC 20  CRANE,2000,2,2,312,4717,1
ESCORTS CONSTRUCTION EQUIPMENT LTD,ESCORTS TC 30 CRANE,2000,2,2,312,4718,1
ESCORTS CONSTRUCTION EQUIPMENT LTD,ESCORTS 5E CRANE,2000,2,2,312,4812,1
EXTEC,S-5,2000,2,2,306,8666,10259
EICHER MOTORS,11.10 REFULLER,1,3,3,304,11740,1
ACTION CONSTRUCTION EQUIPMENT,ACE 8 XW CRANE,2000,2,2,294,6602,1
FASTFUSION,FUSION TRAC 20,1,1,1,,14434,1
FORCE MOTORS,TD 2650,1,6,6,314,16617,1
ACTION CONSTRUCTION EQUIPMENT,ACE 12 XW CRANE,2000,2,2,294,4281,1
ACTION CONSTRUCTION EQUIPMENT,ACE 15 XW CRANE,2000,2,2,294,4282,1
ESCORTS CONSTRUCTION EQUIPMENT LTD,CPQD 30 FORKLIFT,2000,1,1,312,15531,1
EICHER MOTORS,10.75 AMBULANCE,1,3,3,304,15757,1
ACTION CONSTRUCTION EQUIPMENT,ACE 3X CRANE,2000,2,2,294,4285,1
ACTION CONSTRUCTION EQUIPMENT,ACE RHINO 110 CRANE,2000,2,2,294,4287,1
ACTION CONSTRUCTION EQUIPMENT,ACE RHINO 60 CRANE,2000,2,2,294,4288,1
ACTION CONSTRUCTION EQUIPMENT,ACE RHINO 90 CRANE,2000,2,2,294,4289,1
ACTION CONSTRUCTION EQUIPMENT,ACE FEL-75 (FRONT END LOADER),2000,2,2,294,4293,1
ASHOK LEYLAND LTD.,AL 1613 H TRUCK WITH TRANSIT MIXER,2000,2,2,362,4294,1
ASHOK LEYLAND LTD.,AL COMET CO 1611 TRUCK WITH TRANSIT MIXER,2000,2,2,362,4295,1
ASHOK LEYLAND LTD.,AL 1612 H TRUCK WITH TRANSIT MIXER,2000,2,2,362,4298,1
ASHOK LEYLAND LTD.,TAURUS 2516 6X4 CONCRETE PUMP,2000,2,2,362,7415,1
AJAX FLORI ENGINEERING,AGRO 2000,2000,2,2,401,7583,1
FAUN HK,FAUN HK 060.04,1,2,2,,11703,1
EICHER TRACTOR,EICHER 5660 LOADER,1,3,3,366,11714,1
ASHOK LEYLAND LTD.,CARGO 909 PUB. VAN,2000,3,3,362,7724,1
EICHER MOTORS,TERRA 16 TRANSIT MIXER,1,2,2,304,16072,1
ESCORTS CONSTRUCTION EQUIPMENT LTD,XGMA 932,1,1,1,312,16603,1
EICHER MOTORS,20.16 GARBAGE VAN,1,2,2,304,15787,1
EICHER MOTORS,30.25 JETTING MACHINE,1,3,3,304,16176,1
FANTUZZI - REGGIANE S.P.A,CS45K,1,1,1,226,16463,1
EICHER MOTORS,10.60 GENRATOR VAN,1,2,2,304,16089,1
FUWA HEAVY INDUSTRY CO LTD,QUY 250,1,1,1,,15871,1
ESCORTS CONSTRUCTION EQUIPMENT LTD,XG 932,1,2,2,312,16086,1
ASHOK LEYLAND LTD.,2516 CONCRETE PUMP BOOM PLACER,1,2,2,362,15161,1
ATLAS COPCO,ROC T15,1,1,1,297,15341,1
ASHOK LEYLAND LTD.,ALPSV 3/26,1,9,9,362,15344,1
ASIA MOTORWORKS LTD,4923 CONCRETE PUMP,1,1,1,260,15363,1
ACTION CONSTRUCTION EQUIPMENT,230 TRUCK MOUNTED CRANE,1,2,2,294,15568,2
ASHOK LEYLAND LTD.,LPT 1611 ROAD SWEEPERS,1,3,3,362,15580,1
ASIA MOTORWORKS LTD,2518 WITH RIG,1,2,2,260,15591,1
ASHOK LEYLAND LTD.,AL 1613 RECOVERY VAN,1,3,3,362,15604,1
ASHOK LEYLAND LTD.,1611 BITUMEN SPRAY,1,2,2,362,15700,16200
ASHOK LEYLAND LTD.,1112 WITH RIG,1,3,3,362,15705,1
ASHOK LEYLAND LTD.,4/86 AMBULANCE,1,7,7,362,15759,1
FORCE MOTORS,TRAVELLER,2596,9,9,314,16322,1
EICHER MOTORS,10.80 FIRE TENDER,3498,3,3,304,13505,8250
ASHOK LEYLAND LTD.,2516 TRANSIT MIXER,2000,2,2,362,8168,1
ESCORTS CONSTRUCTION EQUIPMENT LTD,TRX 2319 HYDRAULIC MOBILE CRANE,2000,1,1,312,13421,23000
EICHER MOTORS,20.16H BSIII FIRE BRIDGE,5853,3,3,304,11329,1
FORCE MOTORS,FORCE TRAVELLER,2596,1,1,314,16415,3600
EIMCO ELECON,AL 120,1,1,1,310,15889,1
FORCE MOTORS,TRAX,2000,7,7,314,10049,1
ASHOK LEYLAND LTD.,1612 FIRE FIGHTER,1,2,2,362,15776,1
