make,model,CubicCapacity,SeatingCapacity,CarringCapacity,MakeCode,ModelCode,GVW
TATA MOTORS LTD.,2515 COMPRESSOR,1,1,1,350,12394,1
TATA MOTORS LTD.,2516 CRANE,1,3,3,350,16211,1
TATA MOTORS LTD.,407 AMBULANCE,1,6,6,350,15766,1
TATA MOTORS LTD.,912 GARBAGE VAN,1,2,2,350,15709,1
TATA MOTORS LTD.,407 AERIAL BOOM TYPE,5883,2,2,350,12614,1
TATA MOTORS LTD.,LP 1112,3783,2,2,350,17454,1
TOYOTA  KIRLOSKAER,QUALIS AMBULANCE,2523,5,5,396,12824,1
TATA MOTORS LTD.,1112 FIRE TENDER,3750,3,3,350,13068,11900
TATA MOTORS LTD.,SFC 709 EX,2000,2,2,350,9100,1
TATA MOTORS LTD.,1612 CONCRET MIXTURE,5883,3,3,350,13842,16200
TATA MOTORS LTD.,712 COMPRESSORS,1,3,3,350,14215,1
TATA MOTORS LTD.,2515 GARBAGE VAN,5883,3,3,350,13942,25000
TATA MOTORS LTD.,407 HEARSES,2000,2,2,350,11972,1
TATA MOTORS LTD.,SFC 709 TOWING VAN,3783,3,3,350,11100,1
TATA MOTORS LTD.,SFC 709 LADDER CARRIER,1,2,2,350,11473,1
TATA MOTORS LTD.,ACE MOBILE SERVICE VAN,1,2,2,350,11656,1
KOMATSU LIMITED,GD37-6H,2000,2,2,328,12184,1
KOMATSU LIMITED,KOMATSU D31A-17,2000,2,2,328,6569,1
KOMATSU LIMITED,KOMATSU D155-A1,2000,2,2,328,6568,1
KOMATSU LIMITED,KOMATSU D475A,2000,2,2,328,6573,1
KOMATSU LIMITED,KOMATSU D355-A3,2000,2,2,328,6570,1
KOMATSU LIMITED,KOMATSU D375A,2000,2,2,328,6571,1
KOMATSU LIMITED,KOMATSU D80-A12,2000,2,2,328,6576,1
KALMAR INDUSTRIES,DCD 200,1,1,1,,14513,1
TATA MOTORS LTD.,1216 HILIFT,1,1,1,350,12369,1
TATA MOTORS LTD.,207 HEARSES,2523,3,3,350,11969,1
TATA MOTORS LTD.,1109/36,2000,1,1,350,9141,1
TATA MOTORS LTD.,SFC 909/38 EX HIGHDECK E 2,1,2,2,350,10909,0
KOBELCO CONSTRUCTION EQUIPMENT INDIA PVT LTD,SK 210 LC,5883,1,1,,11817,1
KATO,NK 1200 HYDRAULIC CRANE,1,3,3,264,12696,1
KOMATSU LIMITED,GD 605 MOTOR GRADER,2000,2,2,328,6687,1
KOMATSU LIMITED,GD 825A MOTOR GRADER,2000,2,2,328,6689,1
KOMATSU LIMITED,511 A MOTOR GRADER,2000,2,2,328,6690,1
KALMAR INDUSTRIES,DCE 90B FORKLIFT TRUCK,2000,1,1,,12918,1
KAWASAKI CONSTRUCTION MACHINERY,CLG 200-3 EXCAVATOR,2000,1,1,,13536,0
TATA MOTORS LTD.,LPK 2518 TRANSIT MIXER,5883,3,3,350,14191,25200
TATA MOTORS LTD.,608 TOWING VAN,3783,2,2,350,13488,6000
TATA MOTORS LTD.,LPT 2515 TRUCK WITH TRANSIT MIXER,5883,2,2,350,7490,25000
TATA MOTORS LTD.,1210 FIRE TENDER,3598,2,2,350,12582,11500
TATA MOTORS LTD.,LP 410 MOBILE BOOK SHOP,3739,2,2,350,12994,1
TATA MOTORS LTD.,2516 FIRE TENDER,3598,5,5,350,12583,25000
TATA MOTORS LTD.,709 COMPRESSOR,3948,3,3,350,13495,7250
TEREX VECTRA,HEMAN 175 - SKID STEER LOADER,2000,2,2,352,6904,1
TELCON,TAC 20,1,1,1,349,10655,3800
TELCON,TATA-LEBRERO VTA 90 ROLLER,2000,2,2,349,6794,1
TEREX VECTRA,CHIEFTAIN 1700,1,2,2,352,14405,1
TELCON,TATA-HITACHI EX-1200V EXCAVATOR,2000,2,2,349,5154,1
TELCON,TATA-HITACHI ZAXIS 200LC EXCAVATOR,2000,2,2,349,5206,1
TELCON,TATA HITACHI Z AXIS  120H,2000,2,2,349,5388,1
TELCON,ZX 50U,1,2,2,349,11311,1
TELCON,TATA HITACHI EX-110,2000,2,2,349,5461,1
TELCON,TATA HITACHI EX-70 EXCAVATOR,2000,2,2,349,5095,1
KALMAR INDUSTRIES,DEC 60 90 L,1,1,1,,14517,1
KRUPP GERMANY,140 GMT TELESCOPIC CRANE,1,1,1,293,10921,1
TELCON,TATA JD 75 V BACKHOE,2000,2,2,349,6551,1
TELCON,TATA EX-300 LCH EXCAVATOR,2000,2,2,349,6317,1
TELCON,TATA TG14 MOTOR GRADER,2000,2,2,349,6691,1
TELCON,ZAXIS 210 LCH EXCAVATOR,2000,1,1,349,12958,1
KARTAR AGRO INDUSTRIES (P.)LTD.,K 350 OT,2000,2,2,283,8968,1
KAWASAKI CONSTRUCTION MACHINERY,85 ZV2,2595,1,1,,13843,1
KRUPP GERMANY,KMK 6200,1,2,2,293,17452,1
KION BAOLI JIANGSU FORKLIFT CO LTD,CPCD30,1,1,1,,16899,1
KOBELCO CONSTRUCTION EQUIPMENT INDIA PVT LTD,CKL 1000I,1,1,1,,17214,1
TATA MOTORS LTD.,207 GENERATOR VAN,1,3,3,350,12262,1
TATA MOTORS LTD.,407 TOWING VAN,2000,2,2,350,7472,4250
TATA MOTORS LTD.,1613 REFULLER,2000,2,2,350,13234,16200
TATA MOTORS LTD.,955 A CRANE,2000,2,2,350,8070,1
KATO,NK 1600 HYDRAULIC CRANE,1,3,3,264,16840,1
KRUPP GERMANY,KMK 5090,5883,2,2,293,17048,1
KOMATSU LIMITED,HYDRAULIC EXCAVATOR PC130-7,2000,2,2,328,12512,1
KOMATSU LIMITED,F025 FORK LIFT,2000,1,1,328,13342,1
KUBOTA,DC- 68G,1,1,1,,14252,1
KOMATSU LIMITED,WA 320,1,2,2,328,15655,1
TATA MOTORS LTD.,SE 1613 TRUCK WITH TRANSIT MIXER,1,3,3,350,11685,0
TATA MOTORS LTD.,407 HILIFT,2595,2,2,350,16524,5300
TATA MOTORS LTD.,1210 RECOVERY VAN,1,2,2,350,16085,1
TATA MOTORS LTD.,1616  FIRE TENDER,1,2,2,350,15818,1
TATA MOTORS LTD.,207 GARBAGE VAN,2956,3,3,350,13703,2950
TATA MOTORS LTD.,1613 CONCRET MIXER,5675,3,3,350,13839,16200
TATA MOTORS LTD.,2516 TRANSIT MIXER,2000,2,2,350,8428,25000
TATA MOTORS LTD.,712 TOILET CART,1,1,1,350,12365,1
TATA MOTORS LTD.,712 MOBILE LIBRARY VAN,3783,6,6,350,13993,7490
TATA MOTORS LTD.,TATA 1612.,5853,3,3,350,13320,16200
TATA MOTORS LTD.,1112 AMBULANCE,1,2,2,350,12209,1
TATA MOTORS LTD.,1616 TRANSIT MIXER,1,2,2,350,14558,1
TATA MOTORS LTD.,TATA WINGER,2446,10,10,350,15336,1
TATA MOTORS LTD.,LPT 1613 COMPACTOR,5883,2,2,350,12451,1
TATA MOTORS LTD.,SFC 709 COMPACTOR,1,2,2,350,11351,1
TATA MOTORS LTD.,LPT 1615 TC,2000,2,2,350,7371,1
TATA MOTORS LTD.,1612 FIRE BRIGADE,3598,5,5,350,15333,16200
TATA MOTORS LTD.,SFC 407 33KV TESTING EQUIPMENT,2598,3,3,350,12914,1
TATA MOTORS LTD.,LPT 709/38 TURBO EX,1,1,1,350,11879,0
TATA MOTORS LTD.,LPT 1613 FIRE BRIGADE,3598,5,5,350,12890,16200
TATA MOTORS LTD.,207 MOBILE SERVICE VAN,2000,3,3,350,12013,1
TATA MOTORS LTD.,407 PUBLICITY VAN,5853,3,3,350,12911,5300
TATA MOTORS LTD.,1613 VANITY VAN,5883,2,2,350,13603,16200
TATA MOTORS LTD.,207 SCIENTIFIC VAN,2498,6,6,350,12964,1
TATA MOTORS LTD.,1210 FILTER RIG,3498,2,2,350,13795,15660
TATA MOTORS LTD.,1109 FIRE FIGHTER,5853,3,3,350,12743,11900
TATA MOTORS LTD.,410 GARBAGE VAN,3739,3,3,350,13295,5950
TATA MOTORS LTD.,TATA LPS 3015,2000,2,2,350,5401,1
KOMATSU LIMITED,GD 705 MOTOR GRADER,1,2,2,328,15654,1
KUBOTA,B 2420,2000,1,1,,13492,0
KRUPP GERMANY,GMT 80,1,1,1,293,16851,1
KOBELCO CONSTRUCTION EQUIPMENT INDIA PVT LTD,SK 140,1,1,1,,17005,1
KIRLOSKAR TURBO,KIRLOSKAR TRACTOR,1,1,1,398,11204,1
KUBOTA,L 4508,1,1,1,,15870,1
KION BAOLI JIANGSU FORKLIFT CO LTD,CPCD 20,1,1,1,,17306,1
KRUPP GERMANY,KMK 4071,1,2,2,293,16701,1
TATA MOTORS LTD.,1210 TOILET CART,1,1,1,350,12366,1
TATA MOTORS LTD.,1210 HILIFT,1,1,1,350,12368,1
TATA MOTORS LTD.,LP 1109/42,1,8,8,350,11141,0
TATA MOTORS LTD.,1613 DISPENSARY VAN,5883,4,4,350,13952,16200
TATA MOTORS LTD.,1109 MOBILE PLANT,3498,2,2,350,13982,11900
TATA MOTORS LTD.,3516 HYDRAULIC CRANE,5883,3,3,350,13380,35200
TATA MOTORS LTD.,1618 VANITY VAN,1,2,2,350,16862,1
TATA MOTORS LTD.,1313 TOWING VAN,1,3,3,350,17236,1
TATA MOTORS LTD.,VENTURE,1,8,8,350,17381,1
TATA MOTORS LTD.,712 AMBULANCE,1,3,3,350,17336,1
TATA MOTORS LTD.,LPT 407 CRANES,1,2,2,350,16487,1
TATA MOTORS LTD.,407 DISPENSARY VAN,3498,5,5,350,13743,5550
TATA MOTORS LTD.,1613 WITH MOBILE MANLIFT,1,3,3,350,14142,1
TEREX VECTRA,SP 2010 COMPACTOR,2000,2,2,352,6796,1
TIL LIMITED,TLM-8 CANE,5900,1,1,373,7454,1
TIL LIMITED,TMS-750B,1,1,1,373,15567,1
TIL LIMITED,TIL 20 T GROVE RT422 CRANE,2000,2,2,373,5372,1
TIL LIMITED,TIL 20 T HUSKY 620 M CRANE,2000,2,2,373,5373,1
TIL LIMITED,TIL 30 T COLES HYDRA 830(I) CRANE,2000,2,2,373,5375,1
TIL LIMITED,TIL 30 T GROVE 830(M) CRANE,2000,2,2,373,5376,1
TIL LIMITED,RT422 CRANES,2000,1,1,373,7375,1
TLD,TMX-150,1,2,2,,11977,1
TIL LIMITED,TIL 40 T GROVE RT 740(B) CRANE,2000,2,2,373,5420,1
TLD,LSP 900,3595,2,2,,13821,1
TIL LIMITED,TIL 40 MT GROVE COLES HUSKY 640(M) CRANE,2000,2,2,373,5519,1
TIL LIMITED,825 TMM,1,2,2,373,10680,1
TATA MOTORS LTD.,TATA LPS 4018,2000,2,2,350,5919,1
TATA MOTORS LTD.,SFC 410 FIRE TENDER,1,3,3,350,12484,4950
TATA MOTORS LTD.,709 GENERATOR VAN,3784,3,3,350,13511,7490
KAASA RAMA COMBINES PVT LTD,1008 COMBINE HARVESTOR,2000,1,1,,13597,0
KOHEARING,KOHEARING CRAWLER CRANE,1,1,1,,13375,0
KOMATSU LIMITED,D 20P MOTOR DOZER,1,2,2,328,10535,0
KALMAR INDUSTRIES,DCD 220,1,1,1,,14514,1
TATA MOTORS LTD.,1112 CONCRETE PUMP,1,2,2,350,16878,1
TLD,WSP 900,3495,2,2,,13822,1
TIL LIMITED,RST 45 CRANE,2000,1,1,373,13428,0
TIL LIMITED,TIL 3 T QX-30 D FORKLIFTS,2000,2,2,373,6921,1
TITAGARH WAGONS LIMITED,HIND 101 MK CRAWLER CRANE,2000,1,1,,13253,1
TIL LIMITED,TIL RSL 45 CRANE,2000,2,2,373,5395,1
TIL LIMITED,TMS 10,1,1,1,373,16053,1
TLD,JST 30 BAGGAGE TOWING TRACTOR,1,2,2,,12497,1
TIL LIMITED,424B,1,1,1,373,16977,1
KATO,NK 500,1,2,2,264,14070,1
KRUPP GERMANY,KMK 3045,1,2,2,293,11971,1
KARTAR AGRO INDUSTRIES (P.)LTD.,3500 HARVESTOR,1,1,1,283,12616,1
KATO,NK 200 CRANE,6523,2,2,264,14035,19950
KATO,NK350-2 MOBILE CRANE,2000,2,2,264,9102,1
KOBELCO CONSTRUCTION EQUIPMENT INDIA PVT LTD,SK 480LC-8 HYDRAULIC EXCAVATOR,2000,1,1,,13043,1
KATO,KR25H-3 25 TON ROUGH TERRAIN CRANE,2000,2,2,264,5691,1
KOMATSU LIMITED,GD 555 MOTOR GRADER,2000,2,2,328,12822,1
TATA MOTORS LTD.,407 MOBILE DRILLING RIGS,3598,6,6,350,12595,1
TATA MOTORS LTD.,LPT 410 /34 MOBILE TOILET,1,4,4,350,11575,1
TATA MOTORS LTD.,ACE MAGIC AMBULANCE,702,6,6,350,13720,0
TATA MOTORS LTD.,1512 DISPENSARY VAN,5883,5,5,350,13811,0
TATA MOTORS LTD.,TATA 909 DENTLE CLINIC,1,6,6,350,14243,1
TATA MOTORS LTD.,1109 CONCRETE PUMP,1,3,3,350,14264,1
TATA MOTORS LTD.,2516 COMPACTOR,1,3,3,350,14235,1
TATA MOTORS LTD.,909 CINEMA FILM RECORDINGS AND PUBLICITY VANS,1,2,2,350,12404,1
TATA MOTORS LTD.,410 HEARSES,1,3,3,350,14327,1
KOMATSU LIMITED,WK 180 WHEEL LOADER,2000,2,2,328,5047,1
KOBELCO CONSTRUCTION EQUIPMENT INDIA PVT LTD,ACERA GEOSPEC SK 350 LC HYDRAULIC,2000,2,2,,10541,1
KATO,KWL 450 B,1,2,2,264,15339,32000
KOMATSU LIMITED,WA 470,1,1,1,328,16096,1
KOMATSU LIMITED,WA 380,1,1,1,328,14134,1
KARCHER,ICC 2 ROAD SWEEPER,1,1,1,,12376,1
KALMAR INDUSTRIES,DCF 330,1,1,1,,14518,1
KRUPP GERMANY,GMT 70,1,3,3,293,15769,1
KAMCO,ER 90 KMB 200 POWER TILLER,1,1,1,370,11731,1
KUBOTA,L 3408,1,1,1,,14156,1
TATA MOTORS LTD.,1210 SE TOWING VAN,1,2,2,350,10760,15660
TATA MOTORS LTD.,TATA 207 TOWING VAN,1,3,3,350,10965,1
TATA MOTORS LTD.,1612 COMPRESSOR,1,6,6,350,14193,1
KARTAR AGRO INDUSTRIES (P.)LTD.,KARTAR 4000,2000,1,1,283,10329,1
KOMATSU LIMITED,PC 210 EXCAVATOR,2000,2,2,328,12415,1
KRUPP GERMANY,KMK 5100,5883,2,2,293,13738,0
KOMATSU LIMITED,FD20T FORKLIFT,2000,1,1,328,13357,0
KERAZ,T 788 MOBILE CRANE,5883,2,2,,13714,0
KOMATSU LIMITED,KOMATSU D50-A15,2000,2,2,328,6574,1
KOMATSU LIMITED,KOMATSU D65-E8,2000,2,2,328,6575,1
KALMAR INDUSTRIES,DRS 4527,1,2,2,,15837,1
KATO,NK 550 CRANE,2000,2,2,264,13974,0
TATA MOTORS LTD.,1210 COMPRESSOR,5883,2,2,350,13070,1
TATA MOTORS LTD.,ACE D SILT MAN DRILLING,1,2,2,350,12758,1
TELCON,TATA EX-400 EXCAVATOR,2000,2,2,349,6320,1
TELCON,TATA EX-100 EXCAVATOR,2000,2,2,349,5141,1
TELCON,TATA-HITACHI ZAXIS 70 EXCAVATOR,2000,2,2,349,5150,1
TELCON,TATA-HITACHI ZAXIS 450 EXCAVATOR,2000,2,2,349,5151,1
TELCON,TATA EX-40 EXCAVATOR,2000,2,2,349,5204,1
TELCON,TATA-HITACHI EX-2500 EXCAVATOR,2000,2,2,349,5207,1
TELCON,TATA-HITACHI ZAXIS 110 EXCAVATOR,2000,2,2,349,5242,1
TELCON,TATA EX-60 EXCAVATOR,2000,2,2,349,5338,1
TELCON,TATA HITACHI EX-1900 V SHOVEL,2000,2,2,349,6710,1
TELCON,EX-120,2000,2,2,349,6711,1
TEXMACO,ANGAD ROAD ROLLER,2000,2,2,378,13155,1
TELCON,315 V EXCAVATOR,2000,2,2,349,12848,1
TELCON,315 E BACK HOE,1,1,1,349,14381,1
TELCON,VM 3 VIBRATORY SOIL COMPACTOR,1,1,1,349,11527,0
TATA MOTORS LTD.,LP 709 TURBO EX/38,2000,5,5,350,11253,7490
TATA MOTORS LTD.,TDV BORING MACHINE,3849,2,2,350,13242,9410
KAWASAKI CONSTRUCTION MACHINERY,90 ZV WHEEL LOADER,2000,1,1,,12876,1
KOMATSU LIMITED,D275A-5,2000,1,1,328,12011,1
KOKEN ENGINEERING,RPD 45C KNY,3000,2,2,,11822,1
KATO,NK 300 CRANE,2000,2,2,264,13541,0
KRUPP GERMANY,GMT 180,5883,1,1,293,12020,1
TELCON,EX 200 LC,2000,2,2,349,7141,1
TEREX VECTRA,TLB 740S,1,2,2,352,14287,1
TELCON,TATA-HITACHI ZAXIS 330LC EXCAVATOR,2000,2,2,349,5240,1
TEREX VECTRA,HR 32 MIDI EXCAVATOR,2000,2,2,352,5024,1
TELCON,TATA 315 V,1,1,1,349,15603,1
TEREX VECTRA,TXL 760,1,1,1,352,15465,1
KRUPP GERMANY,KMK 8350,5853,1,1,293,12019,1
KOBELCO CONSTRUCTION EQUIPMENT INDIA PVT LTD,SK 200,2000,2,2,,10315,1
KUBOTA,KH 60 EXCAVATOR,2000,2,2,,13575,0
TATA MOTORS LTD.,407 SCRAPPING MACHINE,2000,3,3,350,12944,5700
TATA MOTORS LTD.,1210 AMBULANCE,1,6,6,350,12367,1
TATA MOTORS LTD.,407 LADDER CARRIER CART,1,3,3,350,12373,1
TATA MOTORS LTD.,TATA 207 AMBULANCE,2000,3,3,350,11952,2598
TATA MOTORS LTD.,709 FIRE BRIGADE,2000,3,3,350,12868,1
TATA MOTORS LTD.,TATA 207 DI/31 EX(MOBILE GENSET),2000,2,2,350,5309,1
TATA MOTORS LTD.,TATA 655 CRANE,2000,2,2,350,5311,1
TATA MOTORS LTD.,LPT 2515 TC  FOAM NURSER,2000,1,1,350,10027,25200
TATA MOTORS LTD.,207 DI,2000,2,2,350,7682,1
TATA MOTORS LTD.,709 CRANE,1,2,2,350,15680,1
TATA MOTORS LTD.,608 BORING RING,1,2,2,350,14266,1
TATA MOTORS LTD.,1109 GARBAGE VAN,1,2,2,350,14564,1
TATA MOTORS LTD.,1613 BITUMEN SPRAYER,1,2,2,350,15681,16200
KRUPP GERMANY,KMK 4070,5853,2,2,293,12206,1
K S AGRICULTURAL INDUSTRIES,9300 HARVESTOR,6345,1,1,288,12400,7600
TATA MOTORS LTD.,1613 CRANE,1,2,2,350,14377,1
TATA MOTORS LTD.,TFC-280,1,1,1,350,15357,1
TATA MOTORS LTD.,2518 DRILLING RIGS,1,3,3,350,15470,1
TATA MOTORS LTD.,1109 WITH JETTING MACHINE,1,3,3,350,14261,1
TATA MOTORS LTD.,SUMO AMBULANCE,1948,5,5,350,7628,1
TATA MOTORS LTD.,SFC 410 AIRPORT SUV,1,4,4,350,11576,1
TATA MOTORS LTD.,709 SUCTION MACHINE,1,3,3,350,12457,7950
TATA MOTORS LTD.,410 GENERATOR VAN,2500,2,2,350,13258,5990
TATA MOTORS LTD.,LPT 912/38 COMPACTOR,2000,3,3,350,7543,1
KALMAR INDUSTRIES,734113.0991 CRANE,1,3,3,,14525,1
KRUPP GERMANY,KMK 6180,1,2,2,293,15975,1
KALMAR INDUSTRIES,DRF 450 60 S5,1,3,3,,15456,1
KOMATSU LIMITED,FD25T FORKLIFT,2000,1,1,328,16647,1
KALMAR INDUSTRIES,734113.337 CRANE,1,2,2,,14526,1
KALMAR INDUSTRIES,DCD 250,1,1,1,,14515,1
KALSI,ROAD ROLLER,5800,1,1,,12929,1
KALMAR INDUSTRIES,DRF 450 6585 CRANE,1,3,3,,14519,1
KOBELCO CONSTRUCTION EQUIPMENT INDIA PVT LTD,SK 135,1,1,1,,16014,1
TATA MOTORS LTD.,TATA 1109 HOARDING VAN,5853,4,4,350,10917,0
TATA MOTORS LTD.,TATA SFC 410,2000,3,3,350,10228,1
TATA MOTORS LTD.,410 DISPENSARY VAN,3498,3,3,350,13747,0
TATA MOTORS LTD.,807 TOILET CART,1,1,1,350,12364,1
TEREX VECTRA,TLB 844S,1,2,2,352,14242,1
TELCON,EXCAVATOR EX 210,2000,2,2,349,7140,1
TELCON,TATA HITACHI EX-600 V EXCAVATOR,2000,2,2,349,6322,1
TELCON,TATA EX-200 EXCAVATORS,2000,2,2,349,7957,1
TELCON,TATA JD 315 V BACKHOE,2000,1,1,349,6550,7100
TENNANT,800D SWEEPING MACHINE,1,1,1,,16058,1
TEREX,TLB 740S,1,2,2,,16667,1
TEREX VECTRA,SP 2020 COMPACTOR,2000,2,2,352,6799,1
TEREX VECTRA,TV 1200 COMPACTOR,2000,2,2,352,6801,1
TEREX VECTRA,TV 1700 COMPACTOR,2000,2,2,352,6797,1
TELCON,TFC 280 - CRANE,1,1,1,349,14080,1
TELCON,HITACHI HYDRAULIC EXCAVATOR ZX370MTH,2000,2,2,349,5690,1
TEXMACO,15 TON FORK LIFT,3400,2,2,378,10461,1
TEREX VECTRA,TX 760,2000,1,1,352,6552,1
TATA MOTORS LTD.,1616 CONCRETE PUMP,1,2,2,350,16225,16200
TATA MOTORS LTD.,1109 BORING RIG,1,3,3,350,15959,1
TATA MOTORS LTD.,1613 JETTING MACHINE,1,2,2,350,16178,1
TATA MOTORS LTD.,1616 CRANE,1,2,2,350,16015,1
TATA MOTORS LTD.,LPT 1109 GENERATOR VAN,2598,3,3,350,12849,1
TATA MOTORS LTD.,410 AMBULANCE.,1,5,5,350,15712,1
KOMATSU LIMITED,GD 405,2000,2,2,328,10421,1
KATO,NK 250 CRANE,1,2,2,264,12854,1
KLR INDUSTRIES LTD,KPR-10 PILING DRILLING RIG,2000,2,2,411,7861,1
KOMATSU LIMITED,WA 500 3A WHEEL LOADER,2000,1,1,328,12972,1
KOMATSU LIMITED,KOMATSU D65E-12,2000,2,2,328,12139,1
TELCON,TATA TWL-3036 WHEEL LOADER,2000,1,1,349,6973,1
TEREX,TLB 844S,1,2,2,,16648,1
TELCON,TATA HITACHI EX-350 LCHV EXCAVATOR,2000,2,2,349,6319,1
TELCON,TATA TMX-20 EXCAVATOR,2000,2,2,349,5096,1
TELCON,HITACHI ZW220 HYDRAULIC WHEEL LOADER,2000,2,2,349,12406,1
TELCON,TATA TFC 75 CRANE,2000,2,2,349,6309,1
TELCON,TATA 320 CRANE,2000,2,2,349,5203,1
VOLVO INDIA,DD100,1,1,1,356,16557,1
358,16619,SP500,1,2,SURFACING AND PREMIX LAYING EQMT,WIRTGEN,ROAD SCRAPPING
WIRTGEN,HAMM 311 SOIL COMPACTOR,1,1,1,358,16680,1
WIRTGEN,HAMM HD 90,1,1,1,358,16858,1
VOLVO INDIA,VOLVO 8X4 FIRE TENDER,1,3,3,356,17099,25200
VOLVO INDIA,FM 400 6X4 FIRE BRIGADE,1,2,2,356,17205,1
DHRUVI ROAD EQUIPMENT PVT LTD,HYDRO PAVE 250,1,1,1,368,11063,1
DEMAG,GMBH TC 200,1,2,2,302,11074,1
DHIMAN AGRICULTURAL WORKS,DHIMAN 935,1,3,3,,11196,1
DULEVO,SWEEPING MACHINE,1,1,1,259,11203,1
DOOSAN DAEWOO,MEGA 400- V,2000,2,2,419,8174,1
DAEWOO,290 EXCAVATOR,2000,2,2,217,8337,1
DEMAG,HYDRAULIC MOBILE CRANE HC 240,2000,2,2,302,8617,46440
DOOSAN DAEWOO,SOLAR 220LC-V HYD - EXCAVATOR,2000,2,2,419,8703,5000
DITCH WITCH,JT 2720,2000,1,1,,9173,1
CARGOTEC MFG (I) PVT LTD,FLT 32-1200 FORK LIFT,2000,1,1,,12936,1
VOLVO INDIA,EC-460 B EXCAVATOR,2000,2,2,356,5078,1
VOLVO INDIA,EC-210 B EXCAVATOR,2000,2,2,356,5079,1
VOLVO INDIA,SE-280 LC EXCAVATOR,2000,2,2,356,5080,1
VOLVO INDIA,L-120E WHEEL LOADER,2000,2,2,356,5081,1
VOLVO INDIA,L-110E WHEEL LOADER,2000,2,2,356,5083,1
VOLVO INDIA,EC-360 B EXCAVATOR,2000,2,2,356,5138,1
VOLVO INDIA,EC-290 B EXCAVATOR,2000,2,2,356,5201,1
DEMAG,HC 130 HYDR TRUCK CRANE,2000,2,2,302,9194,1
DEMAG,TC 500,1,2,2,302,9247,0
DAEWOO,EX 280,2000,1,1,217,9255,1
VOLVO INDIA,EC-240 B EXCAVATOR,2000,2,2,356,5225,1
VOLVO INDIA,HYDRAULIC EXCAVATOR EC 140 BLC,2000,2,2,356,5984,1
DEMAG,HC 170,1,2,2,302,11234,0
DEMAG,TC 400,1,2,2,302,11476,25000
CARGOTEC MFG (I) PVT LTD,FLT 12 FORK LIFT,2000,1,1,,13117,1
CATERPILLAR (I) LTD.,D4E BULLDOZER,2000,1,1,300,13292,1
VST TILLERS TRACTOR LTD,EUROTRAC- VST 180D,2000,1,1,357,6516,1
VOLVO INDIA,L220G WHEEL LOADER,2000,1,1,356,16440,1
VST TILLERS TRACTOR LTD,SHAKTI MT 180D,2000,1,1,357,6518,1
VOLVO INDIA,G700 GRADER,2000,2,2,356,6692,1
VOLVO INDIA,G710B GRADER,2000,2,2,356,6693,1
VOLVO INDIA,EC 700 BLC,2000,2,2,356,6741,1
VOLTAS LIMITED,DVX 506 FORKLIFT,2000,2,2,355,6922,1
VOLTAS LIMITED,DVX 606 FORKLIFT,2000,2,2,355,6923,1
VOLTAS LIMITED,DVX 25 FORKLIFT TRUCK,2000,2,2,355,6924,1
VOLTAS LIMITED,DVX 20 FORKLIFT TRUCK,2000,2,2,355,6925,1
VOLTAS LIMITED,DVX 30 FORKLIFT TRUCK,2000,2,2,355,6926,1
CAPTAIN AGRO TECH,DI 2600 LOADER,1,1,1,,17316,1
CARGOTEC MFG (I) PVT LTD,DRT 450,1,1,1,,17322,1
COLES,35T CRANE,2000,1,1,433,13314,0
CHEVROLET,TAVERA B1 AMBULANCE,2499,5,5,,13365,0
CATERPILLAR (I) LTD.,330 DL HYDRAULIC EXCAVATOR,2000,2,2,300,13402,0
CHEVROLET,TAVERA B2,2499,5,5,,10217,0
CATERPILLAR (I) LTD.,939 HSM,2000,3,3,300,10239,1
CATERPILLAR (I) LTD.,973 C,2000,2,2,300,10274,1
CATERPILLAR (I) LTD.,966 E LOADER,2000,2,2,300,10380,1
TATA MOTORS LTD.,410 AMBULANCE,2800,4,4,350,11866,5300
CLARK,LIMA 770,1,1,1,257,14161,1
COSMOS,725 CRANE,1,1,1,,14162,1
DCM TOYOTA,FD 80,1,1,1,,11690,0
DEMAG,HC 70,476,3,3,302,11831,22500
DYNAPAC,CP 142,1,3,3,,11871,0
DATTA SONA ENG.,AGRICULTURAL TRACTOR,1,1,1,,11892,6100
DAVINO,EXCLUSIVE 450.1,5883,2,2,,11931,1
D K DIESEL PVT LTD,625 MINI TRACTOR,625,1,1,,12059,800
DOOSAN DAEWOO,S 130,1,1,1,419,12138,1
CATERPILLAR (I) LTD.,CAT 330 CL EXCAVATOR,2000,2,2,300,4902,1
CATERPILLAR (I) LTD.,CAT 307 HYDRAULIC EXCAVATOR,2000,2,2,300,6295,1
CATERPILLAR (I) LTD.,CAT 320 CL EXCAVATOR,2000,2,2,300,6300,1
DEMAG,HC 810,1,1,1,302,12267,1
DASMESH MECHANICAL WORKS,9100 HARVESTOR,6345,1,1,,12401,1
DOOSAN DAEWOO,S 225,1,1,1,419,12434,1
DRILLTO TRENCHLESS CO LTD,ZT 18 HDD RIG,1,2,2,,12455,7000
DEMAG,TC 120 CRANE,2000,5,5,302,12933,1
DRILLTO TRENCHLESS CO LTD,ZT 15 DRILLING RIG,2000,1,1,,13063,1
DALIP,930 COMBINE HARVESTOR,2000,2,2,,13149,1
DASMESH MECHANICAL WORKS,912 COMBINE HARVESTOR,6345,1,1,,13354,0
TRISHUL TRACTORS (P) LTD,MT 625 DI,2000,1,1,353,6515,1
CARGOTEC MFG (I) PVT LTD,FLT 16,1,1,1,,14376,1
